Disease_Name,Symptom_List
Trichotillomania,"['Poor self-image ', ' Hair regrowth that feels like stubble in the bare spots ', ' Denying the hair pulling ', ' Bowel blockage (obstruction) if people eat the hair they pull out ', ' An uneven appearance to the hair ', ' Feeling sad or depressed ', ' Sense of relief, pleasure, or gratification after the hair pulling ', ' Bare patches or all around (diffuse) loss of hair ', ' Anxiety ', ' Increasing sense of tension before the hair pulling ', ' Other self-injury behaviors ', ' Constant tugging, pulling, or twisting of hair']"
Tricuspid atresia,"['Bluish color to the skin (cyanosis) due to low oxygen level in the blood ', ' Poor growth ', ' Fatigue ', ' Shortness of breath ', ' Fast breathing']"
Tricuspid regurgitation,"['General swelling ', ' Weakness ', ' Active pulsing in the neck veins ', ' Fatigue, tiredness ', ' Swelling of the abdomen ', ' Decreased urine output ', ' Swelling of the feet and ankles']"
Trigeminal neuralgia,"['Pain may be triggered by touch or sounds. ', ' Exposure to hot or cold temperature ', ' Eating ', ' Talking ', ' Touching the face ', ' Drinking ', ' Very painful, sharp electric-like spasms that usually last from several seconds to less than 2 minutes, but can become constant. ', ' Shaving ', ' Wind ', ' Pain is usually only on one side of the face, often around the eye, cheek, and lower part of the face. ', ' Smiling ', ' Chewing ', ' Applying make-up ', ' There is usually no loss of sensation or movement of the affected part of the face. ', ' Brushing teeth']"
Trisodium phosphate poisoning,"['Holes in the skin or tissue under the skin ', ' Burns of the esophagus (food pipe) and stomach ', ' Skin irritation ', ' Throat swelling (which may also cause breathing difficulty) ', ' Blood in the stool ', ' Severe abdominal pain ', ' Vomiting, possibly bloody ', ' Vision loss ', ' Coughing ', ' Severe pain in the throat ', ' Burns ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Diarrhea ', ' Drooling ', ' Shock ', ' Hives ', ' Low blood pressure (develops rapidly) ', ' Collapse ', ' Severe change in blood acid level ', ' Breathing difficulty (from inhaling trisodium phosphate)']"
Trisomy 13,"['Small eyes ', ' Extra fingers or toes (polydactyly) ', ' Small lower jaw (micrognathia) ', ' Scalp defects (missing skin) ', ' Decreased muscle tone ', ' Hole, split, or cleft in the iris (coloboma) ', ' Skeletal (limb) abnormalities ', ' Single palmar crease ', ' Intellectual disability, severe ', ' Clenched hands (with outer fingers on top of the inner fingers) ', ' Low-set ears ', ' Close-set eyes -- eyes may actually fuse together into one ', ' Undescended testicle (cryptorchidism) ', ' Hernias: umbilical hernia, inguinal hernia ', ' Small head (microcephaly) ', ' Cleft lip or palate']"
Trisomy 18,"['Clenched hands ', ' Crossed legs ', ' Undescended testicle ', ' Unusual shaped chest (pectus carinatum) ', ' Mental delay ', ' Feet with a rounded bottom (rocker-bottom feet) ', ' Low-set ears ', ' Small jaw (micrognathia) ', ' Poorly developed fingernails ', ' Small head (microcephaly) ', ' Low birth weight']"
Tropical sprue,"['Leg swelling ', ' Excess gas (flatus) ', ' Fatigue ', ' Abdominal cramps ', ' Diarrhea, worse on a high-fat diet ', ' Weight loss ', ' Fever']"
Truncus arteriosus,"['Widening of the finger tips (clubbing) ', ' Lethargy ', ' Delayed growth or growth failure ', ' Fatigue ', ' Poor feeding ', ' Rapid breathing (tachypnea) ', ' Bluish skin (cyanosis) ', ' Shortness of breath (dyspnea)']"
Tuberous sclerosis,"['Areas of the skin that are white (due to decreased pigment) and have either an ash leaf or confetti appearance ', ' Raised patches of skin with an orange-peel texture (shagreen spots), often on the back ', ' Autism spectrum disorders ', ' Lung disease known as LAM (lymphangioleiomyomatosis). This is more common in women. In many cases, there are no symptoms. In other people, this can lead to shortness of breath, coughing blood, and lung collapse. ', ' Intellectual disability ', ' Developmental delays ', ' Rubbery noncancerous tumors on or around the tongue. ', ' Rough growths under or around the fingernails and toenails. ', ' Red patches on the face containing many blood vessels (facial angiofibromas) ', ' Pitted tooth enamel. ', ' Seizures']"
Tularemia,"['Fever, chills, sweating ', ' Shortness of breath ', ' Headache ', ' Weight loss ', ' Eye irritation (calledÂ\xa0conjunctivitis, if the infection began in the eye) ', ' Red spot on the skin, growing to become a sore (ulcer) ', ' Joint stiffness, muscle pain']"
Tumor,"['Pain ', ' Night sweats ', ' Loss of appetite ', ' Fatigue ', ' Fever or chills ', ' Weight loss']"
Turner syndrome,"['Chest is broad and flat. Nipples appear more widely spaced. ', ' Nails are narrow and turn upward. ', ' Infertility. ', ' Height at birth is often smaller than average. ', ' Hairline at the back of the head is lower. ', ' Pubic hair is often present and normal. ', ' Drooping eyelids and dry eyes. ', ' Neck appears wide or web-like. ', ' Roof of the mouth is narrow (high palate). ', ' Menstrual periods are absent or very light. ', ' Breast development may not occur. ', ' Ears are low-set. ', ' Lower jaw is lower and appears to fade away (recede). ', ' Vaginal dryness and pain with intercourse are common. ', ' Fingers and toes are short. ', ' Hands and feet are swollen in infants.']"
Turpentine oil poisoning,"['Weakness ', ' Burns of the food pipe (esophagus) ', ' Throat swelling (which may also cause breathing difficulty) ', ' Headache ', ' Blood in the stool ', ' Tremors ', ' Severe abdominal pain ', ' Severe cough or choking ', ' Severe pain in the throat ', ' Breathing difficulty (from breathing in turpentine) ', ' Kidney failure (no urine produced) ', ' Burns ', ' Staggering ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Unconsciousness ', ' Convulsions (seizures) ', ' Euphoria (feeling of being drunk) ', ' Low blood pressure that develops rapidly ', ' Blood in urine ', ' Irritation ', ' Dizziness ', ' Loss of vision ', ' Vomiting blood ', ' Drowsiness ', ' Nervousness ', ' Vomiting ', ' Bluish skin color ', ' Collapse']"
Type 1 diabetes,"['Weakness ', ' Deep, rapid breathing ', ' Having blurry eyesight ', ' Headache ', ' Losing weight despite an increased appetite ', ' Sweating ', ' Feeling hungry ', ' Feeling tired all the time ', ' Urinating more often (including urinating at night or bedwetting in children who were dry overnight before) ', ' Nausea and vomiting; inability to keep down fluids ', ' Dry skin and mouth ', ' Rapid heartbeat (palpitations) ', ' Flushed face ', ' Shaking ', ' Hunger ', ' Feeling numbness or tingling in your feet ', ' Being very thirsty ', ' Stomach pain ', ' Fruity breath odor ', ' Nervousness, irritability']"
Type 2 diabetes,"['Increased urination ', ' Blurred vision ', ' Fatigue ', ' Increased thirst ', ' Bladder, kidney, skin, or other infections that are more frequent or heal slowly ', ' Hunger']"
Type 2 diabetes - self-care,"['Urinating a lot, getting up more often than usual at night to urinate ', ' More frequent or long lasting infections ', ' Blurry vision ', ' Trouble having an erection ', ' Thirst ', ' Trouble healing cuts on your skin ', ' Tingling or loss of sensation in your feet ', ' Red skin rashes in parts of your body ', ' Hunger']"
Type V glycogen storage disease,"['Exercise intolerance, poor stamina ', ' Burgundy-colored urine (myoglobinuria) ', ' Muscle pain ', ' Fatigue ', ' Muscle stiffness ', ' Muscle cramps ', ' Muscle weakness']"
Typhoid fever,"['Severe fatigue ', ' Chills ', ' Slow, sluggish, weak feeling ', ' Nosebleeds ', ' Bloody stools ', ' Difficulty paying attention (attention deficit) ', ' Agitation, confusion, delirium, seeing or hearing things that are not there (hallucinations)']"
Typhus,"['Dull red rash that begins on the middle of the body and spreads ', ' Hacking, dry cough ', ' Lights that appear very bright; light may hurt the eyes ', ' Cough ', ' Fever, can be extremely high, 105Â°F to 106Â°F (40.6Â°C to 41.1Â°C) and can last up to 2 weeks ', ' Low blood pressure ', ' High fever, chills ', ' Nausea and vomiting ', ' Headache ', ' Joint and muscle pain ', ' Severe headache ', ' Backache ', ' Severe muscle and joint pain ', ' Rash that begins on the chest and spreads to the rest of the body (except the palms of the hands and soles of the feet) ', ' Abdominal pain ', ' Confusion, decreased alertness, delirium']"
Ulcerative colitis,"['A gurgling or splashing sound heard over the intestine. ', ' Eye irritation ', ' Blood and possibly pus in the stools. ', ' Joint pain and swelling ', ' Feeling that you need to pass stools, even though your bowels are already empty. It may involve straining, pain, and cramping (tenesmus). ', ' Nausea and vomiting ', ' Skin lumps or ulcers ', ' Fever. ', ' Diarrhea, from only a few episodes to very often. ', ' Weight loss. ', ' Pain in the abdomen (belly area) and cramping.']"
Ulnar nerve dysfunction,"['Abnormal sensations in the little finger and part of the ring finger, usually on the palm side ', ' Weakness, loss of coordination of the fingers ', ' Claw-like deformity of the hand and wrist ', ' Pain, numbness, decreased sensation, tingling, or burning sensation in the areas controlled by the nerve']"
Unconsciousness - first aid,"['Weak, ineffective coughing ', ' Rapid heartbeat (palpitations) ', ' Inability to speak ', ' Slow heartbeat ', ' Inability to speak or move parts of the body (stroke symptoms) ', ' Headache ', ' Difficulty breathing ', ' Lightheadedness ', ' Bluish skin color ', ' Amnesia for (not remembering) events before, during, and even after the period of unconsciousness ', ' Loss of bowel or bladder control (incontinence) ', ' Stupor (severe confusion and weakness) ', ' Drowsiness ', ' Confusion ', ' Noisy breathing or high-pitched sounds while inhaling']"
Unstable angina,"['Occurs without cause (for example, while you are asleep or sitting quietly) ', ' Does not respond well to a medicine called nitroglycerin (especially if this medicine worked to relieve chest pain in the past) ', ' Starts to feel different, is more severe, comes more often, or occurs with less activity or while you are at rest ', ' Chest pain that you may also feel in the shoulder, arm, jaw, neck, back, or other area ', ' Discomfort that feels like tightness, squeezing, crushing, burning, choking, or aching ', ' Shortness of breath ', ' Occurs with a drop in blood pressure or shortness of breath ', ' Discomfort that occurs at rest and does not easily go away when you take medicine ', ' Sweating ', ' Lasts longer than 15 to 20 minutes']"
Ureterocele,"['Urinary tract infection ', ' Frequent and urgent urination ', ' Lump (mass) in the abdomen that can be felt ', ' Severe side (flank) pain and spasms that may reach to the groin, genitals, and thigh ', ' Difficulty starting urine flow or slowing of urine flow ', ' Urinary incontinence ', ' Ureterocele tissue falls down (prolapse) through the female urethra and into the vagina ', ' Fever ', ' Back pain that may be only on one side ', ' Foul-smelling urine ', ' Blood in the urine ', ' Abdominal pain ', ' Burning pain while urinating (dysuria)']"
Ureteropelvic junction obstruction,"['Vomiting ', ' Kidney infection ', ' Poor growth in infants (failure to thrive) ', ' Bloody urine (hematuria) ', ' Back or flank pain especially when consuming diuretics such as alcohol or caffeine ', ' Urinary tract infection, usually with fever ', ' Lump in the abdomen (abdominal mass)']"
Urethral stricture,"['Inability to empty bladderÂ\xa0(urinary retention) ', ' Bloody or dark urine ', ' Increased frequency or urgency to urinate ', ' Strong urge to urinate and frequent urination ', ' Blood in the semen ', ' Slow urine stream (may develop suddenly or gradually) or spraying of urine ', ' Swelling of the penis ', ' Painful urination or difficulty urinating ', ' Loss of bladder control ', ' Pain in the lower abdomen and pelvic area']"
Urethritis,"['Fever and chills ', ' Discharge from penis ', ' Burning pain while urinating ', ' Pain with intercourse or ejaculation ', ' Itching, tenderness, or swelling in penis ', ' Vaginal discharge ', ' Fever (rare) ', ' Frequent or urgent urination ', ' Enlarged lymph nodes in the groin area ', ' Pain with intercourse ', ' Blood in the urine or semen ', ' Pelvic pain ', ' Abdominal pain ', ' Burning pain while urinating (dysuria)']"
Urge incontinence,"['Not being able to control when you pass urine ', ' Having to urinate often during the day and night ', ' Needing to urinate suddenly and urgently']"
Urinary tract infection - adults,"['Pressure or cramping in the lower abdomen or back ', ' Severe abdominal pain (sometimes) ', ' Fever above 101Â°F (38.3Â°C) ', ' Flushed, warm, or reddened skin ', ' Strong need to urinate often, even right after the bladder has been emptied ', ' Low grade fever in some people ', ' Nausea and vomiting ', ' Chills and shaking or night sweats ', ' Cloudy or bloody urine, which may have a foul or strong odor ', ' Pain or burning with urination ', ' Mental changes or confusion (in older people, these symptoms often are the only signs of a UTI) ', ' Fatigue and a general ill feeling ', ' Pain in the side, back, or groin']"
Urinary tract infection - children,"['Flushed, warm, or reddened skin ', ' Pressure or pain in the lower pelvis or lower back ', ' Nausea and vomiting ', ' Wetting problems after the child has been toilet trained ', ' Frequent or urgent need to urinate ', ' Cloudy urine ', ' Severe pain in the belly area ', ' Pain or burning with urination ', ' Foul or strong urine odor ', ' Blood in the urine ', ' Fever ', ' General ill feeling (malaise) ', ' Chills with shaking ', ' Pain in the side (flank) or back']"
